Date,Open,High,Low,Close,Volume,Adj Close
3/16/15,205.119995,206.449997,203.199997,205.300003,1808300,205.300003
3/17/15,204.559998,206.490005,202.509995,203.270004,2999900,203.270004
3/18/15,202.539993,211,202.199997,210.949997,3596400,210.949997
3/19/15,210.770004,215.240005,210.160004,214.570007,2918000,214.570007
3/20/15,217.029999,217.050003,212.570007,212.690002,2291800,212.690002
3/23/15,212.970001,217.740005,211.5,216.779999,2207000,216.779999
3/24/15,216,218.559998,213.529999,213.600006,1926300,213.600006
3/25/15,208.220001,211.110001,205.699997,207.740005,4162800,207.740005
3/26/15,205,207.679993,204.059998,205.440002,2974800,205.440002
3/27/15,204.979996,207.770004,204.050003,207.330002,2615800,207.330002
3/30/15,209.399994,210.740005,207.639999,210.539993,2057200,210.539993
3/31/15,210,212.729996,208.399994,208.399994,1838400,208.399994
4/1/15,210.139999,211.5,208.149994,211.070007,2559600,211.070007
4/2/15,210.809998,211.600006,208.509995,208.509995,1781800,208.509995
4/6/15,204.589996,205.399994,202.270004,203.600006,4151900,203.600006
4/7/15,205.089996,205.580002,203.800003,203.869995,2036700,203.869995
4/8/15,207,214.169998,206.5,212.839996,5223500,212.839996
4/9/15,215.399994,220.75,215,218.479996,5996400,218.479996
4/10/15,219.160004,220.100006,214.710007,214.789993,3099100,214.789993
4/13/15,216.589996,218.880005,215.25,215.399994,2980300,215.399994
4/14/15,215.399994,216.169998,211.600006,213.910004,2459000,213.910004
4/15/15,214.350006,214.720001,209.050003,210.770004,3224600,210.770004
4/16/15,210.300003,211.550003,206.360001,206.899994,4053100,206.899994
4/17/15,204.039993,208.089996,202.679993,207.869995,4192300,207.869995
4/20/15,209.179993,213.220001,208.5,211.860001,3177800,211.860001
4/21/15,214.520004,217.470001,212.740005,212.850006,2497700,212.850006
4/22/15,214.440002,215.25,212.259995,213.369995,1614000,213.369995
4/23/15,213.240005,215.360001,212.119995,212.279999,1902300,212.279999
4/24/15,214.809998,217.889999,213.919998,216.899994,3355100,216.899994
4/27/15,218.600006,223.949997,218.259995,220.460007,4351000,220.460007
4/28/15,222.669998,223.300003,217.25,219.190002,2456700,219.190002
4/29/15,219,220,215.210007,219,4138600,219
4/30/15,209.369995,211.330002,199.600006,200.279999,11054300,200.279999
5/1/15,200.899994,202.979996,196.130005,202.470001,6151300,202.470001
5/4/15,204.990005,206.899994,203.520004,203.699997,4397100,203.699997
5/5/15,201.820007,201.990005,192.740005,194.740005,7379600,194.740005
5/6/15,194.470001,196,188.610001,190.050003,6736100,190.050003
5/7/15,192.089996,194.619995,191.070007,193.630005,4165200,193.630005
5/8/15,195.789993,195.899994,191.630005,193.539993,2863800,193.539993
5/11/15,194.720001,196.990005,190.490005,190.839996,3558200,190.839996
5/12/15,189.919998,191.479996,188.75,189.970001,3721300,189.970001
5/13/15,190.289993,190.669998,188.600006,189.179993,2603100,189.179993
5/14/15,190.970001,192.949997,189.520004,190.270004,3391600,190.270004
5/15/15,191.729996,193.779999,189.199997,192.979996,3794700,192.979996
5/18/15,192.990005,193.679993,190.050003,191.320007,2512100,191.320007
5/19/15,191.610001,194.5,190.899994,193.139999,2205800,193.139999
5/20/15,194,196.710007,192.75,195.509995,2614100,195.509995
5/21/15,195.649994,200.639999,195.639999,200.130005,3944900,200.130005
5/22/15,201.830002,204.410004,200.589996,203.800003,4311100,203.800003
5/26/15,204,204.5,198.639999,200.190002,3523500,200.190002
5/27/15,200.550003,202.539993,198.899994,201.449997,2026800,201.449997
5/28/15,197.660004,201.839996,197,200.270004,2412800,200.270004
5/29/15,201.029999,201.210007,197.190002,197.399994,2688600,197.399994
6/1/15,198.940002,202.630005,197.580002,201.559998,2409400,201.559998
